rank,symbol,yahoo_symbol,name,sector,market_cap,weight_percent
259,PEG,PEG,Public Service Enterprise Group,Utilities,40558378604.62875,0.0568
260,ED,ED,Consolidated Edison,Utilities,40077605418.75,0.0562
261,ADSK,ADSK,Autodesk,Information Technology,39860000226.03433,0.0558
262,CCL,CCL,Carnival Corporation,Consumer Discretionary,39781207700.34013,0.0557
263,BDX,BDX,Becton Dickinson,Health Care,39655777749.31041,0.0556
264,CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,39700618278.64838,0.0556
265,IRM,IRM,Iron Mountain,Real Estate,39588633327.481384,0.0555
266,UAL,UAL,United Airlines Holdings,Industrials,39451451428.9082,0.0553
267,JBL,JBL,Jabil,Information Technology,39351421949.48096,0.0551
268,LYV,LYV,Live Nation Entertainment,Communication Services,39235379331.766205,0.055
269,CBRE,CBRE,CBRE Group,Real Estate,39006098454.52162,0.0547
270,VMC,VMC,Vulcan Materials Company,Materials,38808388079.47342,0.0544
271,SYY,SYY,Sysco,Consumer Staples,37910316578.520996,0.0531
272,PRU,PRU,Prudential Financial,Financials,37677828773.30732,0.0528
273,EME,EME,Emcor,Industrials,37345455359.537476,0.0523
274,WEC,WEC,WEC Energy Group,Utilities,37178328688.11282,0.0521
275,PCG,PCG,PG&E Corporation,Utilities,36931309696.65848,0.0517
276,CCI,CCI,Crown Castle,Real Estate,36805996525.55745,0.0516
277,PYPL,PYPL,PayPal,Financials,36783799731.09308,0.0515
278,ADM,ADM,Archer Daniels Midland,Consumer Staples,36551581242.702484,0.0512
279,HSY,HSY,Hershey Company (The),Consumer Staples,36363732165.08038,0.051
280,MLM,MLM,Martin Marietta Materials,Materials,36278531422.21069,0.0508
281,HIG,HIG,Hartford (The),Financials,36001601092.54852,0.0504
282,A,A,Agilent Technologies,Health Care,35775653829.331665,0.0501
283,KVUE,KVUE,Kenvue,Consumer Staples,35347359284.90993,0.0495
284,HBAN,HBAN,Huntington Bancshares,Financials,35272071440.51105,0.0494
285,PAYX,PAYX,Paychex,Industrials,35108922663.7981,0.0492
286,STLD,STLD,Steel Dynamics,Materials,35143212953.971985,0.0492
287,WAT,WAT,Waters Corporation,Health Care,35071988604.5578,0.0491
288,KR,KR,Kroger,Consumer Staples,34971649532.318115,0.049
289,AXON,AXON,Axon Enterprise,Industrials,34903924112.81845,0.0489
290,KMB,KMB,Kimberly-Clark,Consumer Staples,34503706687.04224,0.0483
291,MTB,MTB,M&T Bank,Financials,33863956478.84674,0.0474
292,Q,Q,Qnity Electronics,Information Technology,33743387287.41205,0.0473
293,ROP,ROP,Roper Technologies,Information Technology,33256307347.19095,0.0466
294,ACGL,ACGL,Arch Capital Group,Financials,32741297971.60428,0.0459
295,NTRS,NTRS,Northern Trust,Financials,32616428678.585052,0.0457
296,EQT,EQT,EQT Corporation,Energy,32312193384.55963,0.0453
297,ZTS,ZTS,Zoetis,Health Care,32213487051.86078,0.0451
298,LVS,LVS,Las Vegas Sands,Consumer Discretionary,31647557529.78525,0.0443
299,CNC,CNC,Centene Corporation,Health Care,31178342278.61023,0.0437
300,EXR,EXR,Extra Space Storage,Real Estate,31215914742.86902,0.0437
301,DTE,DTE,DTE Energy,Utilities,31035744524.351624,0.0435
302,AEE,AEE,Ameren,Utilities,30913154662.621094,0.0433
303,NTAP,NTAP,NetApp,Information Technology,30920084314.100403,0.0433
304,CASY,CASY,Casey's,Consumer Staples,30784018449.52417,0.0431
305,RJF,RJF,Raymond James Financial,Financials,30682385348.748657,0.043
306,TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,30413790551.783386,0.0426
307,EL,EL,Estée Lauder Companies (The),Consumer Staples,30303942853.27732,0.0425
308,DOV,DOV,Dover Corporation,Industrials,30102211581.46115,0.0422
309,SATS,SATS,EchoStar,Communication Services,30115968870.852173,0.0422
310,IR,IR,Ingersoll Rand,Industrials,29992054718.90695,0.042
311,EXPE,EXPE,Expedia Group,Consumer Discretionary,29413811289.457947,0.0412
312,HAL,HAL,Halliburton,Energy,29330814985.736313,0.0411
313,CFG,CFG,Citizens Financial Group,Financials,29174624275.20671,0.0409
314,BIIB,BIIB,Biogen,Health Care,29112563461.67218,0.0408
315,NRG,NRG,NRG Energy,Utilities,29044398232.85553,0.0407
316,GEHC,GEHC,GE HealthCare,Health Care,28985705159.207825,0.0406
317,VICI,VICI,Vici Properties,Real Estate,28663889481.609894,0.0402
318,IQV,IQV,IQVIA,Health Care,28586631796.26465,0.0401
319,ATO,ATO,Atmos Energy,Utilities,28558311734.701355,0.04
320,CPRT,CPRT,Copart,Industrials,28513928652.272987,0.04
321,CNP,CNP,CenterPoint Energy,Utilities,28456372380.0,0.0399
322,TDY,TDY,Teledyne Technologies,Information Technology,28395590727.389282,0.0398
323,WDAY,WDAY,"Workday, Inc.",Information Technology,28434055958.93708,0.0398
324,EIX,EIX,Edison International,Utilities,28066870995.978333,0.0393
325,RMD,RMD,ResMed,Health Care,27743483207.021484,0.0389
326,OTIS,OTIS,Otis Worldwide,Industrials,27531628453.0,0.0386
327,FE,FE,FirstEnergy,Utilities,27446559695.057964,0.0385
328,PPL,PPL,PPL Corporation,Utilities,27302795325.77733,0.0383
329,ARES,ARES,Ares Management,Financials,27238103863.669067,0.0382
330,CINF,CINF,Cincinnati Financial,Financials,27195475733.36682,0.0381
331,HUBB,HUBB,Hubbell Incorporated,Industrials,26947192147.391144,0.0378
332,CBOE,CBOE,Cboe Global Markets,Financials,26939978482.543213,0.0377
333,FSLR,FSLR,First Solar,Information Technology,26781676784.378952,0.0375
334,ES,ES,Eversource Energy,Utilities,26712963716.66794,0.0374
335,DXCM,DXCM,Dexcom,Health Care,26594364868.285477,0.0373
336,KHC,KHC,Kraft Heinz,Consumer Staples,26644422711.65111,0.0373
337,WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,26627218539.673172,0.0373
338,PPG,PPG,PPG Industries,Materials,26235329319.763184,0.0368
339,XYL,XYL,Xylem Inc.,Industrials,26241361989.891487,0.0368
340,VEEV,VEEV,Veeva Systems,Health Care,25943819096.23268,0.0364
341,AVB,AVB,AvalonBay Communities,Real Estate,25854766633.88655,0.0362
342,WRB,WRB,W. R. Berkley Corporation,Financials,25672203097.890472,0.036
343,FICO,FICO,Fair Isaac,Information Technology,25496314758.11792,0.0357
344,TPL,TPL,Texas Pacific Land Corporation,Energy,25513640866.113495,0.0357
345,JBHT,JBHT,J.B. Hunt,Industrials,25389116494.829346,0.0356
346,DG,DG,Dollar General,Consumer Staples,25274818417.166214,0.0354
347,SYF,SYF,Synchrony Financial,Financials,25241223267.636154,0.0354
348,FISV,FISV,Fiserv,Financials,25222913130.959496,0.0353
349,RF,RF,Regions Financial Corporation,Financials,24995487449.3123,0.035
350,KEY,KEY,KeyCorp,Financials,24847066678.975754,0.0348
351,FDXF,FDXF,FedEx Freight,Industrials,24788408470.500214,0.0347
352,AWK,AWK,American Water Works,Utilities,24722513660.625572,0.0346
353,STZ,STZ,Constellation Brands,Consumer Staples,24689817039.272827,0.0346
354,EQR,EQR,Equity Residential,Real Estate,24618586717.269287,0.0345
355,WTW,WTW,Willis Towers Watson,Financials,24325075065.870605,0.0341
356,PFG,PFG,Principal Financial Group,Financials,24271151598.083496,0.034
357,MRNA,MRNA,Moderna,Health Care,24203961799.0,0.0339
358,RL,RL,Ralph Lauren Corporation,Consumer Discretionary,24223748566.674316,0.0339
359,DRI,DRI,Darden Restaurants,Consumer Discretionary,24119925862.33029,0.0338
360,PHM,PHM,PulteGroup,Consumer Discretionary,24106048553.468216,0.0338
361,LUV,LUV,Southwest Airlines,Industrials,24150309084.74905,0.0338
362,WST,WST,West Pharmaceutical Services,Health Care,23765145516.92688,0.0333
363,MTD,MTD,Mettler Toledo,Health Care,23372919916.64978,0.0327
364,CMS,CMS,CMS Energy,Utilities,23270914184.308685,0.0326
365,SW,SW,Smurfit Westrock,Materials,23265226820.18747,0.0326
366,VRSK,VRSK,Verisk Analytics,Industrials,22897376038.675537,0.0321
367,CHD,CHD,Church & Dwight,Consumer Staples,22860319516.363937,0.032
368,L,L,Loews Corporation,Financials,22753922353.11406,0.0319
369,TROW,TROW,T. Rowe Price,Financials,22712260236.0,0.0318
370,NI,NI,NiSource,Utilities,22658297913.977146,0.0317
371,VRSN,VRSN,Verisign,Information Technology,22497020111.083984,0.0315
372,CPAY,CPAY,Corpay,Financials,22181219874.390015,0.0311
373,FFIV,FFIV,"F5, Inc.",Information Technology,21976989215.03885,0.0308
374,DOW,DOW,Dow Inc.,Materials,21860087759.551792,0.0306
375,DGX,DGX,Quest Diagnostics,Health Care,21827121059.45514,0.0306
376,DLTR,DLTR,Dollar Tree,Consumer Staples,21794520728.84436,0.0305
377,HPQ,HPQ,HP Inc.,Information Technology,21646752142.072544,0.0303
378,SMCI,SMCI,Supermicro,Information Technology,21553809062.23002,0.0302
379,BG,BG,Bunge Global,Consumer Staples,21508848347.31926,0.0301
380,LEN,LEN,Lennar,Consumer Discretionary,21514155779.778625,0.0301
381,ROL,ROL,"Rollins, Inc.",Industrials,21492463386.138916,0.0301
382,EXE,EXE,Expand Energy,Energy,21226776574.84536,0.0297
383,LH,LH,Labcorp,Health Care,21204379699.70703,0.0297
384,EXPD,EXPD,Expeditors International,Industrials,21101840919.248566,0.0296
385,CHRW,CHRW,C.H. Robinson,Industrials,21080414399.616028,0.0295
386,INCY,INCY,Incyte,Health Care,20857257286.843376,0.0292
387,OMC,OMC,Omnicom Group,Communication Services,20794051799.229034,0.0291
388,PKG,PKG,Packaging Corporation of America,Materials,20744838144.154495,0.0291
389,VLTO,VLTO,Veralto,Industrials,20777697528.84526,0.0291
390,BRO,BRO,Brown & Brown,Financials,20472450113.59336,0.0287
391,FOXA,FOXA,Fox Corporation (Class A),Communication Services,20486953195.51053,0.0287
